time_trend,month,co2_level
1994,Jan,363.05
1994.083333,Feb,364.18
1994.166667,Mar,364.87
1994.25,Apr,364.47
1994.333333,May,364.32
1994.416667,Jun,362.13
1994.5,Jul,356.72
1994.583333,Aug,350.88
1994.666667,Sep,350.69
1994.75,Oct,356.06
1994.833333,Nov,360.09
1994.916667,Dec,363.27
1995,Jan,363.49
1995.083333,Feb,364.94
1995.166667,Mar,366.72
1995.25,Apr,366.33
1995.333333,May,365.75
1995.416667,Jun,364.32
1995.5,Jul,358.59
1995.583333,Aug,352.06
1995.666667,Sep,353.45
1995.75,Oct,357.27
1995.833333,Nov,362.34
1995.916667,Dec,365.65
1996,Jan,366.93
1996.083333,Feb,366.71
1996.166667,Mar,367.63
1996.25,Apr,368.15
1996.333333,May,369.14
1996.416667,Jun,367.33
1996.5,Jul,361.53
1996.583333,Aug,356.11
1996.666667,Sep,354.51
1996.75,Oct,360.12
1996.833333,Nov,363.85
1996.916667,Dec,365.52
1997,Jan,367.72
1997.083333,Feb,369.08
1997.166667,Mar,368.17
1997.25,Apr,368.83
1997.333333,May,369.49
1997.416667,Jun,367.57
1997.5,Jul,360.79
1997.583333,Aug,355.16
1997.666667,Sep,356.01
1997.75,Oct,360.71
1997.833333,Nov,364.77
1997.916667,Dec,367.81
1998,Jan,369.4
1998.083333,Feb,370.12
1998.166667,Mar,370.88
1998.25,Apr,370.53
1998.333333,May,371.56
1998.416667,Jun,369.28
1998.5,Jul,364.5
1998.583333,Aug,357.46
1998.666667,Sep,360.54
1998.75,Oct,364.04
1998.833333,Nov,368.74
1998.916667,Dec,371.58
1999,Jan,372.6
1999.083333,Feb,373.85
1999.166667,Mar,373.75
1999.25,Apr,374.1
1999.333333,May,374.5
1999.416667,Jun,372.04
1999.5,Jul,364.81
1999.583333,Aug,359.11
1999.666667,Sep,359.65
1999.75,Oct,364.94
1999.833333,Nov,369.82
1999.916667,Dec,372.62
2000,Jan,373.23
2000.083333,Feb,375.13
2000.166667,Mar,374.83
2000.25,Apr,375.42
2000.333333,May,376.18
2000.416667,Jun,374.01
2000.5,Jul,366.54
2000.583333,Aug,360.78
2000.666667,Sep,361.77
2000.75,Oct,367.51
2000.833333,Nov,370.58
2000.916667,Dec,373.37
2001,Jan,375.49
2001.083333,Feb,375.94
2001.166667,Mar,376.42
2001.25,Apr,377.48
2001.333333,May,377.67
2001.416667,Jun,374.78
2001.5,Jul,367.38
2001.583333,Aug,361.67
2001.666667,Sep,363.39
2001.75,Oct,367.74
2001.833333,Nov,373.18
2001.916667,Dec,374.41
2002,Jan,376.68
2002.083333,Feb,377.42
2002.166667,Mar,378.27
2002.25,Apr,378.73
2002.333333,May,379.01
2002.416667,Jun,375.95
2002.5,Jul,370.78
2002.583333,Aug,364.07
2002.666667,Sep,365.36
2002.75,Oct,370.25
2002.833333,Nov,374.04
2002.916667,Dec,377.99
2003,Jan,379.03
2003.083333,Feb,379.36
2003.166667,Mar,380.9
2003.25,Apr,381.39
2003.333333,May,382.38
2003.416667,Jun,381.02
2003.5,Jul,373.78
2003.583333,Aug,367.97
2003.666667,Sep,368.55
2003.75,Oct,372.28
2003.833333,Nov,377.75
2003.916667,Dec,379.99
2004,Jan,382.44
2004.083333,Feb,382.36
2004.166667,Mar,381.58
2004.25,Apr,383.21
2004.333333,May,383.58
2004.416667,Jun,382.59
2004.5,Jul,374.58
2004.583333,Aug,368.69
2004.666667,Sep,368.55
2004.75,Oct,373.39
2004.833333,Nov,378.49
2004.916667,Dec,381.62
