quarter,quarterly_sales
1,10919
2,13314
3,12729
4,13435
5,10452
6,13380
7,13279
8,13710
9,10895
10,13706
11,13417
12,14003
13,11123
14,13683
15,13458
16,14231
17,11944
18,14674
19,14368
20,14959
21,12037
22,14902
23,15235
24,16138
25,12713
26,15774
27,16057
28,17215
29,13946
30,17246
31,17338
32,18800
33,15203
34,18461
35,18153
36,19520
37,16191
38,19360
39,18789
40,20514
41,16896
42,20502
43,20176
44,21615
45,17349
46,21018
47,21468
48,23009
49,18572
50,22345
51,21944
52,24057
53,19517
54,24260
55,23589
56,24859
57,20579
58,25505
59,24985
60,27313
61,21565
62,26882
63,26274
64,29104
65,22941
66,28666
67,28153
68,29545
69,23532
70,28698
71,27702
72,28867
73,23514
74,29327
75,27770
76,30734
77,24747
78,30592
79,29660
80,31423
81,25836
82,32039
83,30540
84,33629
85,27338
86,33981
87,32990
88,35192
89,27501
90,34428
91,32483
92,35202
93,27759
94,34970
95,34661
96,37389
97,30709
98,36759
99,35257
100,38561
101,31336
102,38943
103,35884
104,39199
105,31640
106,39382
107,38060
108,42489
109,33581
110,41519
111,40325
112,44199
113,35228
114,42341
115,46457
116,47469
117,39060
118,48816
119,47620
120,50648
121,41424
122,49884
123,48193
