Period,Value,Month
1/1/1992,164095,1
1/2/1992,164213,2
1/3/1992,163721,3
1/4/1992,164709,4
1/5/1992,165612,5
1/6/1992,166077,6
1/7/1992,167257,7
1/8/1992,167800,8
1/9/1992,169400,9
1/10/1992,170625,10
1/11/1992,171003,11
1/12/1992,173105,12
1/1/1993,175108,1
1/2/1993,173744,2
1/3/1993,172306,3
1/4/1993,176749,4
1/5/1993,178426,5
1/6/1993,178157,6
1/7/1993,180743,7
1/8/1993,180707,8
1/9/1993,181773,9
1/10/1993,182884,10
1/11/1993,184747,11
1/12/1993,186399,12
1/1/1994,185142,1
1/2/1994,188074,2
1/3/1994,191579,3
1/4/1994,191639,4
1/5/1994,190929,5
1/6/1994,193130,6
1/7/1994,193743,7
1/8/1994,196163,8
1/9/1994,197765,9
1/10/1994,199571,10
1/11/1994,199731,11
1/12/1994,200702,12
1/1/1995,201573,1
1/2/1995,198399,2
1/3/1995,200247,3
1/4/1995,201032,4
1/5/1995,202986,5
1/6/1995,205500,6
1/7/1995,204920,7
1/8/1995,206521,8
1/9/1995,207006,9
1/10/1995,206176,10
1/11/1995,208664,11
1/12/1995,210399,12
1/1/1996,208699,1
1/2/1996,212008,2
1/3/1996,213891,3
1/4/1996,214676,4
1/5/1996,216299,5
1/6/1996,216068,6
1/7/1996,216332,7
1/8/1996,216358,8
1/9/1996,219256,9
1/10/1996,221060,10
1/11/1996,220963,11
1/12/1996,221991,12
1/1/1997,223481,1
1/2/1997,225422,2
1/3/1997,226161,3
1/4/1997,224615,4
1/5/1997,222929,5
1/6/1997,226057,6
1/7/1997,228703,7
1/8/1997,229309,8
1/9/1997,230312,9
1/10/1997,229836,10
1/11/1997,230440,11
1/12/1997,231181,12
1/1/1998,231587,1
1/2/1998,231684,2
1/3/1998,233083,3
1/4/1998,235986,4
1/5/1998,237075,5
1/6/1998,238971,6
1/7/1998,237411,7
1/8/1998,236379,8
1/9/1998,238550,9
1/10/1998,242549,10
1/11/1998,244291,11
1/12/1998,246530,12
1/1/1999,246868,1
1/2/1999,249520,2
1/3/1999,250667,3
1/4/1999,252477,4
1/5/1999,254735,5
1/6/1999,255449,6
1/7/1999,257456,7
1/8/1999,260230,8
1/9/1999,261317,9
1/10/1999,261818,10
1/11/1999,264965,11
1/12/1999,269863,12
1/1/2000,268044,1
1/2/2000,272020,2
1/3/2000,275192,3
1/4/2000,271046,4
1/5/2000,271394,5
1/6/2000,273422,6
1/7/2000,272630,7
1/8/2000,272918,8
1/9/2000,277548,9
1/10/2000,276927,10
1/11/2000,276029,11
1/12/2000,275791,12
1/1/2001,278834,1
1/2/2001,278773,2
1/3/2001,276450,3
1/4/2001,280808,4
1/5/2001,281496,5
1/6/2001,280401,6
1/7/2001,279504,7
1/8/2001,281413,8
1/9/2001,276084,9
1/10/2001,294540,10
1/11/2001,287111,11
1/12/2001,283705,12
1/1/2002,283508,1
1/2/2002,285054,2
1/3/2002,284262,3
1/4/2002,288833,4
1/5/2002,284951,5
1/6/2002,287372,6
1/7/2002,290385,7
1/8/2002,292650,8
1/9/2002,288410,9
1/10/2002,289576,10
1/11/2002,291484,11
1/12/2002,293947,12
1/1/2003,295248,1
1/2/2003,291167,2
1/3/2003,296325,3
1/4/2003,295600,4
1/5/2003,296410,5
1/6/2003,299626,6
1/7/2003,302747,7
1/8/2003,307809,8
1/9/2003,305933,9
1/10/2003,304809,10
1/11/2003,308527,11
1/12/2003,307407,12
1/1/2004,309254,1
1/2/2004,311393,2
1/3/2004,316912,3
1/4/2004,313512,4
1/5/2004,318964,5
1/6/2004,314958,6
1/7/2004,318549,7
1/8/2004,318977,8
1/9/2004,324569,9
1/10/2004,326740,10
1/11/2004,327836,11
1/12/2004,331874,12
1/1/2005,328696,1
1/2/2005,333026,2
1/3/2005,333581,3
1/4/2005,336583,4
1/5/2005,334522,5
1/6/2005,343998,6
1/7/2005,346576,7
1/8/2005,343307,8
1/9/2005,343956,9
1/10/2005,344097,10
1/11/2005,347325,11
1/12/2005,347405,12
1/1/2006,357331,1
1/2/2006,354706,2
1/3/2006,355665,3
1/4/2006,357423,4
1/5/2006,356704,5
1/6/2006,357879,6
1/7/2006,359006,7
1/8/2006,360691,8
1/9/2006,358961,9
1/10/2006,358462,10
1/11/2006,359266,11
1/12/2006,363730,12
1/1/2007,363616,1
1/2/2007,364006,2
1/3/2007,367158,3
1/4/2007,366187,4
1/5/2007,370934,5
1/6/2007,368154,6
1/7/2007,369614,7
1/8/2007,371358,8
1/9/2007,372869,9
1/10/2007,375289,10
1/11/2007,378860,11
1/12/2007,374298,12
1/1/2008,375236,1
1/2/2008,371833,2
1/3/2008,372745,3
1/4/2008,372572,4
1/5/2008,376036,5
1/6/2008,376455,6
1/7/2008,375038,7
1/8/2008,372284,8
1/9/2008,366729,9
1/10/2008,352950,10
1/11/2008,339350,11
1/12/2008,332091,12
1/1/2009,336929,1
1/2/2009,335576,2
1/3/2009,329747,3
1/4/2009,331352,4
1/5/2009,334256,5
1/6/2009,339883,6
1/7/2009,340517,7
1/8/2009,346668,8
1/9/2009,338507,9
1/10/2009,341654,10
1/11/2009,344375,11
1/12/2009,346072,12
1/1/2010,346189,1
