Month Year,Value of Import
Jan-90,26173
Feb-90,19159
Mar-90,27451
Apr-90,26171
May-90,28544
Jun-90,17922
Jul-90,26481
Aug-90,23562
Sep-90,31341
Oct-90,43549
Nov-90,25242
Dec-90,50914
Jan-91,69158
Feb-91,61637
Mar-91,13725
Apr-91,34632
May-91,24989
Jun-91,23759
Jul-91,17966
Aug-91,37883
Sep-91,34601
Oct-91,33082
Nov-91,35627
Dec-91,42152
Jan-92,50253
Feb-92,31072
Mar-92,37189
Apr-92,19353
May-92,21794
Jun-92,20417
Jul-92,21008
Aug-92,24640
Sep-92,18008
Oct-92,16589
Nov-92,13101
Dec-92,18123
Jan-93,13190
Feb-93,11418
Mar-93,14598
Apr-93,14366
May-93,14519
Jun-93,14270
Jul-93,23104
Aug-93,25529
Sep-93,30680
Oct-93,47624
Nov-93,20121
Dec-93,26978
Jan-94,33903
Feb-94,16803
Mar-94,19280
Apr-94,9066
May-94,12729
Jun-94,23110
Jul-94,33888
Aug-94,68407
Sep-94,70732
Oct-94,56674
Nov-94,68528
Dec-94,61586
Jan-95,68153
Feb-95,38072
Mar-95,29770
Apr-95,49208
May-95,38223
Jun-95,48021
Jul-95,50000
Aug-95,50545
Sep-95,33988
Oct-95,39025
Nov-95,24674
Dec-95,19319
Jan-96,16607
Feb-96,16543
Mar-96,17499
Apr-96,17763
May-96,16141
Jun-96,22076
Jul-96,26656
Aug-96,32669
Sep-96,43514
Oct-96,31283
Nov-96,41167
Dec-96,39689
Jan-97,29244
Feb-97,27505
Mar-97,31872
Apr-97,42966
May-97,52229
Jun-97,43521
Jul-97,57842
Aug-97,48106
Sep-97,51904
Oct-97,43349
Nov-97,38461
Dec-97,28720
Jan-98,23524
Feb-98,32324
Mar-98,27978
Apr-98,15869
May-98,21840
Jun-98,19290
Jul-98,29811
Aug-98,44923
Sep-98,47693
Oct-98,57644
Nov-98,43367
Dec-98,48535
Jan-99,37467
Feb-99,38255
Mar-99,64982
Apr-99,51780
May-99,35555
Jun-99,35293
Jul-99,32629
Aug-99,45896
Sep-99,39301
Oct-99,42367
Nov-99,42357
Dec-99,46332
Jan-00,40574
Feb-00,29819
Mar-00,36887
Apr-00,22662
May-00,23678
Jun-00,23162
Jul-00,20510
Aug-00,13877
Sep-00,22613
Oct-00,16403
Nov-00,25490
Dec-00,17083
Jan-01,14511
Feb-01,9855
Mar-01,12231
Apr-01,11365
May-01,11321
Jun-01,14089
Jul-01,17859
Aug-01,16096
Sep-01,23457
Oct-01,21102
Nov-01,21580
Dec-01,20681
Jan-02,15483
Feb-02,11777
