Date;month;year;weekdays;calendardays;weekends;Passengers
01. Jan 05;1;2005;22;30;8;5141123
01. Feb 05;2;2005;21;28;7;4753591
01. Mar 05;3;2005;24;30;6;5708627
01. Apr 05;4;2005;22;30;8;5573022
01. May 05;5;2005;22;30;8;5636621
01. Jun 05;6;2005;23;30;7;6000208
01. Jul 05;7;2005;22;30;8;6456943
01. Aug 05;8;2005;23;30;7;6120139
01. Sep 05;9;2005;23;30;7;6042020
01. Oct 05;10;2005;22;30;8;5713074
01. Nov 05;11;2005;23;30;7;5208222
01. Dec 05;12;2005;23;30;7;5332860
01. Jan 06;1;2006;22;30;8;5112718
01. Feb 06;2;2006;21;28;7;4734688
01. Mar 06;3;2006;24;30;6;5491143
01. Apr 06;4;2006;21;30;9;5811931
01. May 06;5;2006;23;30;7;5716741
01. Jun 06;6;2006;23;30;7;6122230
01. Jul 06;7;2006;22;30;8;6533091
01. Aug 06;8;2006;24;30;6;5987755
01. Sep 06;9;2006;22;30;8;5896743
01. Oct 06;10;2006;22;30;8;5630492
01. Nov 06;11;2006;23;30;7;5099094
01. Dec 06;12;2006;22;30;8;5206233
01. Jan 07;1;2007;23;30;7;5013163
01. Feb 07;2;2007;21;28;7;4641466
01. Mar 07;3;2007;23;30;7;5646977
01. Apr 07;4;2007;21;30;9;5667573
01. May 07;5;2007;24;30;6;5610629
01. Jun 07;6;2007;22;30;8;6014542
01. Jul 07;7;2007;22;30;8;6419432
01. Aug 07;8;2007;24;30;6;6378156
01. Sep 07;9;2007;21;30;9;6022156
01. Oct 07;10;2007;23;30;7;5844064
01. Nov 07;11;2007;23;30;7;5221947
01. Dec 07;12;2007;22;30;8;5374953
01. Jan 08;1;2008;24;30;6;4957887
01. Feb 08;2;2008;22;29;7;4704906,7
01. Mar 08;3;2008;22;30;8;4445141,8
01. Apr 08;4;2008;23;30;7;5467910
01. May 08;5;2008;23;30;7;5645161
01. Jun 08;6;2008;21;30;9;5958635
01. Jul 08;7;2008;24;30;6;6417660
01. Aug 08;8;2008;22;30;8;6365717
01. Sep 08;9;2008;22;30;8;5802706
01. Oct 08;10;2008;24;30;6;5630399
01. Nov 08;11;2008;21;30;9;4971829
01. Dec 08;12;2008;23;30;7;5251674
01. Jan 09;1;2009;23;30;7;4853191
01. Feb 09;2;2009;20;28;8;4370846
01. Mar 09;3;2009;22;30;8;5193571
01. Apr 09;4;2009;23;30;7;5612596
01. May 09;5;2009;22;30;8;5424789
01. Jun 09;6;2009;22;30;8;5775828
01. Jul 09;7;2009;24;30;6;6477476
01. Aug 09;8;2009;22;30;8;6383692
01. Sep 09;9;2009;23;30;7;5783611
01. Oct 09;10;2009;23;30;7;5687438
01. Nov 09;11;2009;21;30;9;5028739
01. Dec 09;12;2009;24;30;6;5316129
01. Jan 10;1;2010;22;30;8;4830092
01. Feb 10;2;2010;20;28;8;4600406
01. Mar 10;3;2010;23;30;7;5211877
01. Apr 10;4;2010;23;30;7;4446530
01. May 10;5;2010;22;30;8;5255772
01. Jun 10;6;2010;23;30;7;5783051
01. Jul 10;7;2010;23;30;7;6705882
01. Aug 10;8;2010;22;30;8;6542496
01. Sep 10;9;2010;23;30;7;6221219
01. Oct 10;10;2010;22;30;8;6097490
01. Nov 10;11;2010;22;30;8;5243163
01. Dec 10;12;2010;24;30;6;4809195
01. Jan 11;1;2011;22;30;8;5052726
01. Feb 11;2;2011;21;28;7;4621717
01. Mar 11;3;2011;24;30;6;5331451
01. Apr 11;4;2011;22;30;8;5848560
01. May 11;5;2011;22;30;8;5865558
01. Jun 11;6;2011;23;30;7;6146986
01. Jul 11;7;2011;22;30;8;6872514
01. Aug 11;8;2011;23;30;7;6585442
01. Sep 11;9;2011;23;30;7;6310903
01. Oct 11;10;2011;22;30;8;6019465
01. Nov 11;11;2011;23;30;7;5218862
01. Dec 11;12;2011;23;30;7;5517264
01. Jan 12;1;2012;22;30;8;5169518
01. Feb 12;2;2012;22;29;7;4798785
01. Mar 12;3;2012;23;30;7;5697132
01. Apr 12;4;2012;21;30;9;5849171
01. May 12;5;2012;24;30;6;5831840
01. Jun 12;6;2012;22;30;8;6245553
01. Jul 12;7;2012;22;30;8;6569647
01. Aug 12;8;2012;24;30;6;6459119
01. Sep 12;9;2012;21;30;9;6345935
01. Oct 12;10;2012;23;30;7;6011761
01. Nov 12;11;2012;23;30;7;5381138
01. Dec 12;12;2012;22;30;8;5625269
01. Jan 13;1;2013;24;30;6;5184924
01. Feb 13;2;2013;21;28;7;4848548
01. Mar 13;3;2013;22;30;8;5921068
01. Apr 13;4;2013;22;30;8;5806681
01. May 13;5;2013;24;30;6;6105232
01. Jun 13;6;2013;21;30;9;6531933
01. Jul 13;7;2013;23;30;7;6930334
01. Aug 13;8;2013;23;30;7;6959544
01. Sep 13;9;2013;21;30;9;6559112
01. Oct 13;10;2013;24;30;6;6289291
01. Nov 13;11;2013;22;30;8;5411354
01. Dec 13;12;2013;22;30;8;5784898
01. Jan 14;1;2014;24;30;6;5383877
01. Feb 14;2;2014;21;28;7;4898467
01. Mar 14;3;2014;22;30;8;5753321
01. Apr 14;4;2014;23;30;7;6193738
01. May 14;5;2014;23;30;7;6236718
01. Jun 14;6;2014;21;30;9;6600652
01. Jul 14;7;2014;24;30;6;6965356
01. Aug 14;8;2014;22;30;8;7051073
01. Sep 14;9;2014;22;30;8;6577692
01. Oct 14;10;2014;24;30;6;6315187
01. Nov 14;11;2014;21;30;9;5473031
01. Dec 14;12;2014;23;30;7;5925713
01. Jan 15;1;2015;23;30;7;5454689
01. Feb 15;2;2015;20;28;8;4954259
01. Mar 15;3;2015;22;30;8;5950930
01. Apr 15;4;2015;23;30;7;6144333
01. May 15;5;2015;22;30;8;6342533
01. Jun 15;6;2015;22;30;8;6675186
01. Jul 15;7;2015;24;30;6;7292273
01. Aug 15;8;2015;22;30;8;7333100
01. Sep 15;9;2015;23;30;7;6766212
01. Oct 15;10;2015;23;30;7;6562401
01. Nov 15;11;2015;21;30;9;5582081
01. Dec 15;12;2015;24;30;6;5901061
01. Jan 16;1;2016;22;30;8;5507719
01. Feb 16;2;2016;21;29;8;5179374
01. Mar 16;3;2016;24;30;6;6100967
01. Apr 16;4;2016;22;30;8;6047226
01. May 16;5;2016;22;30;8;6292660
01. Jun 16;6;2016;23;30;7;6607388
01. Jul 16;7;2016;22;30;8;7444112
01. Aug 16;8;2016;23;30;7;7338852
01. Sep 16;9;2016;23;30;7;6792807
01. Oct 16;10;2016;22;30;8;6480589
01. Nov 16;11;2016;23;30;7;5721133
01. Dec 16;12;2016;23;30;7;6163396
01. Jan 17;1;2017;22;30;8;5739466
01. Feb 17;2;2017;21;28;7;5266321
01. Mar 17;3;2017;24;30;6;6155844
01. Apr 17;4;2017;21;30;9;6731652
01. May 17;5;2017;23;30;7;6476024
01. Jun 17;6;2017;23;30;7;6758018
01. Jul 17;7;2017;22;30;8;7532422
01. Aug 17;8;2017;24;30;6;7480285
01. Sep 17;9;2017;22;30;8;6928800
01. Oct 17;10;2017;22;30;8;6663671
01. Nov 17;11;2017;23;30;7;5920389
01. Dec 17;12;2017;22;30;8;6335860
01. Jan 18;1;2018;23;30;7;5804671
01. Feb 18;2;2018;21;28;7;5391855
01. Mar 18;3;2018;23;30;7;6492752
01. Apr 18;4;2018;21;30;9;6581579
01. May 18;5;2018;24;30;6;6676963
01. Jun 18;6;2018;22;30;8;7124524
01. Jul 18;7;2018;22;30;8;7812309
01. Aug 18;8;2018;24;30;6;7671950
01. Sep 18;9;2018;21;30;9;6982147
01. Oct 18;10;2018;23;30;7;6954019
01. Nov 18;11;2018;23;30;7;6113761
01. Dec 18;12;2018;22;30;8;6495487
01. Jan 19;1;2019;24;30;6;5927543
01. Feb 19;2;2019;21;28;7;5482288
01. Mar 19;3;2019;22;30;8;6527489
01. Apr 19;4;2019;22;30;8;6798212
01. May 19;5;2019;24;30;6;6768903
01. Jun 19;6;2019;21;30;9;7246563
01. Jul 19;7;2019;23;30;7;7754139
01. Aug 19;8;2019;23;30;7;7680327
01. Sep 19;9;2019;21;30;9;6777115
01. Oct 19;10;2019;24;30;6;6994212
01. Nov 19;11;2019;22;30;8;6233801
01. Dec 19;12;2019;22;30;8;6696079
01. Jan 20;1;2020;24;30;6;6099370
01. Feb 20;2;2020;21;29;8;5442081
01. Mar 20;3;2020;22;30;8;3106845
01. Apr 20;4;2020;23;30;7;206600
01. May 20;5;2020;22;30;8;228018
01. Jun 20;6;2020;22;30;8;350283
01. Jul 20;7;2020;24;30;6;866655
01. Aug 20;8;2020;22;30;8;1418683
01. Sep 20;9;2020;23;30;7;1256479
01. Oct 20;10;2020;23;30;7;1245624
01. Nov 20;11;2020;21;30;9;746954
01. Dec 20;12;2020;24;30;6;1143417
01. Jan 21;1;2021;22;30;8;677356
01. Feb 21;2;2021;20;28;8;461188
01. Mar 21;3;2021;23;30;7;541669
01. Apr 21;4;2021;23;30;7;536039
01. May 21;5;2021;22;30;8;675214
01. Jun 21;6;2021;23;30;7;956689
01. Jul 21;7;2021;23;30;7;1510845
01. Aug 21;8;2021;22;30;8;2232326
01. Sep 21;9;2021;23;30;7;2571199
01. Oct 21;10;2021;22;30;8;3043258
01. Nov 21;11;2021;22;30;8;3065774
01. Dec 21;12;2021;24;30;6;3121588
01. Jan 22;1;2022;22;30;8;2598556
01. Feb 22;2;2022;21;28;7;2863496
01. Mar 22;3;2022;24;30;6;4196656
01. Apr 22;4;2022;22;30;8;5081426
01. May 22;5;2022;22;30;8;5341351
01. Jun 22;6;2022;23;30;7;5990385
